env_id,timestep,joints_pos,reward,collision,avg_setupTime,avg_actionTime,avg_obsTime,target_dist_euclid,target_dist_angular,DistReset_1_reset,DistReset_1_success,TimeReset_1_reset,TimeReset_1_success
0,1.0,[-0.36087653 -0.11116073  1.26484504],-32.884028588011454,0.0,0.15454700001282617,0.0001240999554283917,6.880000000819564e-05,0.8209049891250219,3.114990253965846,False,False,False,True
0,2.0,[-0.34418645 -0.1123687   1.25234736],-31.988217547210628,0.0,0.15454700001282617,9.250000584870577e-05,6.67999847792089e-05,0.8022065814952156,3.0917235936711602,False,False,False,True
0,3.0,[-0.32854923 -0.11254403  1.23911065],-31.15075301353837,0.0,0.15454700001282617,9.329995373263955e-05,6.57000346109271e-05,0.7837563708181328,3.0712596794782887,False,False,False,True
0,4.0,[-0.31414832 -0.11189525  1.22567286],-30.369500366618787,0.0,0.15454700001282617,8.670001989230514e-05,6.619998021051288e-05,0.7660056634659265,3.0523930642514983,False,False,False,True
0,5.0,[-0.30080667 -0.1106067   1.21238101],-29.63077646643671,0.0,0.15454700001282617,8.239998714998364e-05,6.510003004223108e-05,0.7490200753590652,3.0339870633061965,False,False,False,True
0,6.0,[-0.28826661 -0.10879253  1.19933964],-28.922682191834,0.0,0.15454700001282617,7.800001185387373e-05,6.410002242773771e-05,0.7326691872451947,3.015509860128409,False,False,False,True
0,7.0,[-0.27634794 -0.10657177  1.18642843],-28.236124001243788,0.0,0.15454700001282617,0.00010470004053786397,6.930000381544232e-05,0.7167984209021896,2.996675197371775,False,False,False,True
0,8.0,[-0.26484601 -0.10404958  1.17326373],-27.560405742508667,0.0,0.15454700001282617,8.490000618621707e-05,6.580003537237644e-05,0.7011320546589986,2.9773043664615217,False,False,False,True
0,9.0,[-0.25356408 -0.10126234  1.15951066],-26.88740811774625,0.0,0.15454700001282617,8.730002446100116e-05,6.479996955022216e-05,0.6854079152009832,2.9573406899901715,False,False,False,True
0,10.0,[-0.2422505  -0.09817971  1.14535332],-26.210425982597606,0.0,0.15454700001282617,9.649997809901834e-05,6.530003156512976e-05,0.6694971352746522,2.9364857993678677,False,False,False,True
0,11.0,[-0.2307451  -0.09477943  1.1311898 ],-25.5292012214669,0.0,0.15454700001282617,9.190000128000975e-05,6.520003080368042e-05,0.6534166404900924,2.91462991647994,False,False,False,True
0,12.0,[-0.21924176 -0.09137365  1.11738632],-24.857761589109685,0.0,0.15454700001282617,7.780001033097506e-05,7.250002818182111e-05,0.6375929584773486,2.8919946382308286,False,False,False,True
0,13.0,[-0.20798934 -0.08805313  1.10431941],-24.209915098557573,0.0,0.15454700001282617,8.279999019578099e-05,6.419996498152614e-05,0.6223929034092882,2.8690117265595743,False,False,False,True
0,14.0,[-0.19707154 -0.0845957   1.09218387],-23.585986345832858,0.0,0.15454700001282617,0.00010510004358366132,6.9500005338341e-05,0.6078313750411467,2.8457693806899247,False,False,False,True
0,15.0,[-0.18649111 -0.08134237  1.08050907],-22.972315962652196,0.0,0.15454700001282617,7.720000576227903e-05,6.38000201433897e-05,0.5938969854986461,2.8211738137665865,False,False,False,True
0,16.0,[-0.17632975 -0.07812018  1.06916281],-22.37371336340136,0.0,0.15454700001282617,7.579999510198832e-05,6.500002928078175e-05,0.5805351977278628,2.7958264473481527,False,False,False,True
0,17.0,[-0.1666408  -0.07479766  1.05828734],-21.79055409435523,0.0,0.15454700001282617,7.910002022981644e-05,6.549997488036752e-05,0.567766802113006,2.7697807912109798,False,False,False,True
0,18.0,[-0.15753484 -0.0712975   1.0480374 ],-21.222703297470048,0.0,0.15454700001282617,7.870001718401909e-05,6.439996650442481e-05,0.5556800123256556,2.742908836938008,False,False,False,True
0,19.0,[-0.14962035 -0.06816402  1.03851845],-20.663450328231022,0.0,0.15454700001282617,7.780001033097506e-05,6.450002547353506e-05,0.5450567724462149,2.713089809096017,False,False,False,True
0,20.0,[-0.14398105 -0.06669475  1.02991441],-20.120590916257424,0.0,0.15454700001282617,9.90999978967011e-05,6.940000457689166e-05,0.5374651035857666,2.6779858256540723,False,False,False,True
0,21.0,[-0.14217431 -0.06791633  1.0237973 ],-19.651707223201356,0.0,0.15454700001282617,7.990002632141113e-05,6.930000381544232e-05,0.5350777673135955,2.638706395351263,False,False,False,True
0,22.0,[-0.14383506 -0.07150779  1.0199607 ],-19.289858943759633,0.0,0.15454700001282617,7.770000956952572e-05,6.389996269717813e-05,0.5373482580259893,2.59951879543968,False,False,False,True
0,23.0,[-0.14684363 -0.07576449  1.01737313],-18.989811322763792,0.0,0.15454700001282617,7.919996278360486e-05,7.349997758865356e-05,0.5413994035304455,2.561498100711901,False,False,False,True
0,24.0,[-0.14990158 -0.08038894  1.01539252],-18.69797150448309,0.0,0.15454700001282617,7.800001185387373e-05,6.410002242773771e-05,0.5458342932761906,2.523318250851121,False,False,False,True
0,25.0,[-0.15281644 -0.08524047  1.01512106],-18.415848121923734,0.0,0.15454700001282617,8.490000618621707e-05,6.430002395063639e-05,0.5506443807857472,2.4846190291577255,False,False,False,True
0,26.0,[-0.15549253 -0.09054542  1.01545974],-18.13653597743195,0.0,0.15454700001282617,8.9899986051023e-05,7.040001219138503e-05,0.5556257577712541,2.445111073494857,False,False,False,True
0,27.0,[-0.15768616 -0.09563064  1.01608608],-17.848901070286125,0.0,0.15454700001282617,8.929998148232698e-05,6.669998401775956e-05,0.5601706764240448,2.4050028415553575,False,False,False,True
